ID,Age,Gender,units,dateStamp,userWeight,minutes,aveSpeed,aveWatts,aveHR,aveRPMs,NormPower,AveCalories,avePowerL,avePowerR,EWMA,TSS,AveLoad,MinLoad,MaxLoad,UserMaxWatts
8,50,M,miles,2020-08-18T08:34:00,97 kgs,57.0003,18.59,110.0,128.5800180018,76.18,134.699510361812,471.035339355469,52.9293189502496,47.0706810497504,110.623017945458,-1.0,120.7,83,159,185
11,55,M,miles,2020-08-19T10:49:00,62 kgs,10.0002,15.84,70.1,0.0,90.0,70.4430919159563,48.1360130310059,55.6786042240588,44.3213957759412,69.2526746536111,-1.0,68.5,55,130,150
11,55,M,miles,2020-08-19T11:36:00,62 kgs,43.967,17.96,99.0,125.344986393134,102.0,101.955367118143,306.614166259766,54.7304964539007,45.2695035460993,99.0383233527337,-1.0,102.5,56,123,150
12,31,M,miles,2020-08-20T08:10:00,77 kgs,43.967,16.92,85.6,0.0,76.0,87.8504955259674,222.298645019531,48.2634105614694,51.7365894385306,86.096133414102,-1.0,102.5,56,123,150
4,50,F,miles,2020-08-21T06:36:00,57 kgs,10.0001,14.71,62.3,0.0,80.66,67.7990236750539,48.3779411315918,54.0275482093664,45.9724517906336,61.123264243107,-1.0,68.5,55,130,150
4,50,F,miles,2020-08-21T06:46:00,57 kgs,10.0002,0.0,77.1,0.0,94.03,82.1950253399352,58.547550201416,52.1357798165138,47.8642201834862,73.8404111937004,-1.0,68.6,55,130,150
5,46,F,miles,2020-08-21T08:16:00,60 kgs,31.4482,17.37,129.5,0.0,98.38,139.106546655115,299.170593261719,53.4376093294461,46.5623906705539,129.435781181693,-1.0,137.4,84,167,167
1,62,M,miles,2020-08-21T08:16:00,65 kgs,31.3962,16.95,117.8,118.939028980053,97.25,134.941017796828,289.027008056641,46.327080890973,53.672919109027,116.431143708216,-1.0,133.0,81,162,162
4,50,F,miles,2020-08-26T06:33:00,57 kgs,10.0002,15.52,67.2,0.0,90.82,71.3590691430329,50.9555587768555,50.7979797979798,49.2020202020202,66.6800731068687,-1.0,68.5,55,130,150
5,46,F,miles,2020-08-31T07:55:00,60 kgs,60.0002,6.75,31.8,0.0,93.46,61.7611459326325,253.253265380859,50.2361939727704,49.7638060272296,30.722163242608,-1.0,132.8,84,204,167
3,43,M,miles,2020-08-31T07:55:00,92 kgs,60.0002,19.68,141.2,112.480969920196,80.49,152.357622516463,602.992004394531,47.2992198256081,52.7007801743919,140.902525567401,-1.0,182.5,114,285,228
5,46,F,miles,2020-09-01T09:54:00,60 kgs,60.0,19.51,128.1,0.0,95.65,141.291373410637,579.839416503906,54.5225362872422,45.4774637127578,127.766291379951,-1.0,130.8,92,177,167
1,62,M,miles,2020-09-01T09:54:00,65 kgs,60.0,17.62,112.8,0.0,77.65,135.394915787167,555.605590820313,45.6157177225341,54.3842822774659,111.84136436636,-1.0,126.8,89,172,162
14,47,F,miles,2020-09-01T08:14:00,77 kgs,20.0,0.0,111.0,149.432692307692,91.39,131.920655750745,188.095199584961,51.4788990825688,48.5211009174312,107.579261405841,-1.0,0.0,0,0,150
4,50,F,miles,2020-09-02T07:04:00,57 kgs,20.0002,0.0,110.3,140.537121906508,0.0,121.870484351174,173.73957824707,49.1684258834328,50.8315741165672,106.325587312823,-1.0,0.0,0,0,101
3,43,M,miles,2020-09-02T08:20:00,92 kgs,60.0002,20.89,164.8,120.432230522946,74.0,199.214011201073,804.215515136719,47.4446313857449,52.5553686142551,165.726931677934,-1.0,184.9,125,274,228
14,47,F,miles,2020-09-03T08:09:00,77 kgs,42.0002,0.0,98.9,0.0,90.06,101.487998351274,304.327697753906,52.2601004586154,47.7398995413846,98.3362826685241,-1.0,97.5,83,128,111
4,50,F,miles,2020-09-04T07:19:00,57 kgs,41.5999,10.72,82.1,0.0,99.98,85.8338097259014,254.914916992188,48.9450573698146,51.0549426301854,81.7399410778687,-1.0,82.7,56,111,111
7,29,M,miles,2020-09-04T07:19:00,76 kgs,41.5999,16.8,113.7,0.0,76.09,141.935175982274,421.487152099609,50.1019906061284,49.8980093938716,111.152959639251,-1.0,111.8,75,150,150
5,46,F,miles,2020-09-04T09:13:00,60 kgs,46.1071,19.04,126.2,0.0,82.0,132.029622008232,416.183380126953,54.9878444084279,45.0121555915721,125.06123661123,-1.0,125.4,84,167,167
1,62,M,miles,2020-09-04T09:13:00,65 kgs,46.1071,19.47,124.2,0.0,77.0,128.454720239076,405.05908203125,48.8226640159046,51.1773359840954,123.008115835582,-1.0,121.6,81,162,162
14,47,F,miles,2020-09-08T08:08:00,77 kgs,43.6136,16.53,86.4,0.0,87.12,88.3818787529002,275.060852050781,51.9185606060606,48.0814393939394,85.7403053205066,-1.0,83.0,56,111,111
8,50,M,miles,2020-09-10T08:24:00,97 kgs,60.0001,0.0,125.9,140.544923775543,88.13,141.439873163841,551.90380859375,52.1908840624044,47.8091159375956,126.547025381548,-1.0,135.8,74,185,185
14,47,F,miles,2020-09-10T08:24:00,77 kgs,60.0001,15.1,79.7,0.0,85.21,91.2994476365092,391.097686767578,51.0932190417878,48.9067809582122,78.4787379225596,-1.0,81.5,44,111,111
4,50,F,miles,2020-09-11T07:21:00,57 kgs,52.9718,16.53,82.6,0.0,90.13,92.0088923098966,348.004333496094,49.1310763888889,50.8689236111111,82.3934069886164,-1.0,90.0,50,111,111
5,46,F,miles,2020-09-11T08:47:00,60 kgs,33.8259,20.54,145.2,0.0,87.0,153.035665150205,353.895355224609,53.7915875169607,46.2084124830393,143.048969587001,-1.0,143.1,75,167,167
1,62,M,miles,2020-09-11T08:47:00,65 kgs,58.0002,17.74,110.5,0.0,85.59,126.488343554785,501.927093505859,47.7275752773376,52.2724247226624,110.038242912001,-1.0,130.6,73,162,162
14,47,F,miles,2020-09-14T08:04:00,77 kgs,58.0002,7.98,91.8,0.0,89.03,95.9127131829872,397.187225341797,50.4786392405063,49.5213607594937,91.6457551384926,-1.0,89.5,50,111,111
14,47,F,miles,2020-09-15T08:16:00,77 kgs,42.3834,17.25,94.1,0.0,89.34,113.105598750544,342.088806152344,50.1870253851161,49.8129746148839,94.4264546738214,-1.0,88.8,56,165,111
14,47,F,miles,2020-09-22T08:02:00,77 kgs,60.0002,15.69,92.3,0.0,93.27,101.44582273136,434.553375244141,51.1384615384615,48.8615384615385,92.0943034527355,-1.0,92.7,44,128,111
8,50,M,miles,2020-09-22T08:02:00,97 kgs,60.0002,19.3,157.0,0.0,90.22,177.009342535303,758.344665527344,50.4490514075887,49.5509485924113,157.025780518243,-1.0,154.8,74,213,185
1,62,M,miles,2020-09-22T09:38:00,65 kgs,60.0003,19.84,133.6,136.342508710801,94.91,140.558375322568,576.894470214844,48.0386968491894,51.9613031508106,133.31867868545,-1.0,135.4,65,186,162
3,43,M,miles,2020-09-22T18:58:00,92 kgs,41.9668,20.43,145.6,111.608469202899,95.98,161.245050032495,483.0361328125,49.7170568561873,50.2829431438127,145.997961142176,-1.0,180.9,91,262,228
14,47,F,miles,2020-09-23T07:48:00,77 kgs,45.0001,16.47,78.2,0.0,81.57,79.2540994135108,254.617462158203,54.1971303805365,45.8028696194635,77.9954794027597,-1.0,73.2,56,87,111
8,50,M,miles,2020-09-24T07:44:00,97 kgs,53.5002,20.3,161.7,0.0,91.36,204.977904111468,783.14404296875,50.8411583276217,49.1588416723783,160.83375563964,-1.0,199.0,93,370,185
14,47,F,miles,2020-09-24T07:44:00,77 kgs,35.6049,17.88,106.0,0.0,97.88,127.754716175899,324.826538085938,50.6903474903475,49.3096525096525,106.007989971533,-1.0,122.5,56,222,111
14,47,F,miles,2020-09-24T08:06:00,77 kgs,20.4444,17.94,105.3,0.0,97.0,117.946552210653,172.110198974609,50.5412556053812,49.4587443946188,104.637498855947,-1.0,126.9,56,222,111
1,62,M,miles,2020-09-24T09:11:00,65 kgs,30.61,17.49,106.6,0.0,80.0,114.148573608175,237.854507446289,46.324648098233,53.675351901767,103.870714060003,-1.0,170.3,81,324,162
1,62,M,miles,2020-09-30T09:43:00,65 kgs,42.9264,16.25,93.9,0.0,93.98,130.504380560201,382.203582763672,46.3242664382095,53.6757335617905,92.8149425469994,-1.0,107.3,65,243,162
14,47,F,miles,2020-10-01T08:13:00,77 kgs,60.2747,15.64,63.9,0.0,83.88,99.2675715273709,425.630615234375,50.3178057002758,49.6821942997242,63.6135314561827,-1.0,72.0,44,167,111
1,62,M,miles,2020-10-01T13:11:00,65 kgs,45.8143,16.88,97.3,0.0,97.78,131.874680298823,413.255437728023,46.8736186457705,53.1263813542295,96.6181197864492,50.5990794109786,105.7,65,243,162
1,62,M,miles,2020-10-01T09:19:00,65 kgs,1.2657,0.0,86.0,0.0,85.83,98.9143240520036,8.56339682075928,52.6159420289855,47.3840579710145,67.360231641085,0.78644413080595,129.3,81,152,162
3,43,M,miles,2020-10-05T08:03:00,92 kgs,51.3263,20.4,145.6,0.0,90.52,163.848408063509,600.455688476563,49.5018773466834,50.4981226533166,144.284930936694,-1.0,180.2,114,253,228
14,47,F,miles,2020-10-05T08:03:00,77 kgs,60.0002,3.86,84.3,0.0,92.25,95.8639956371617,410.733245849609,50.335528330781,49.664471669219,84.1584252837467,-1.0,85.0,56,123,111
8,50,M,miles,2020-10-06T08:05:00,97 kgs,60.0002,13.94,127.4,130.741693644573,85.85,168.74209187551,713.734558105469,51.1565416985463,48.8434583014537,125.903827872257,-1.0,120.4,56,370,185
14,47,F,miles,2020-10-06T08:05:00,77 kgs,60.0002,11.29,77.9,0.0,86.99,100.377557677812,429.539215087891,49.3639025893958,50.6360974106042,77.3748311088423,-1.0,72.0,33,222,111
1,62,M,miles,2020-10-07T06:38:00,65 kgs,0.6499,4.83,59.0,88.5833333333333,0.0,65.5186368885717,1.23208010196686,43.4084507042254,56.5915492957746,18.8710312493534,-1.0,0.0,0,0,162
1,62,M,miles,2020-10-07T06:59:00,65 kgs,20.0002,21.1,158.3,128.710164835165,0.0,173.893460920679,237.49674987793,47.4806629834254,52.5193370165746,150.228460203587,-1.0,0.0,0,0,162
