ID,Age,Gender,units,dateStamp,userWeight,minutes,aveSpeed,aveWatts,aveHR,aveRPMs,NormPower,AveCalories,avePowerL,avePowerR,EWMA,TSS,AveLoad,MinLoad,MaxLoad,UserMaxWatts
7,29,M,miles,2021-07-05 15:51:00,76 kgs,20.0003,23.82,212.6,181.440591770689,90.63,218.995829352206,312.371704101563,50.6507421150278,49.3492578849722,209.024021044279,-1.0,0.0,0,0,179
7,29,M,miles,2021-07-05 15:50:00,76 kgs,19.0024,23.71,210.0,180.505596107056,90.6,216.763885093688,293.9150390625,50.68603515625,49.31396484375,206.911069030766,-1.0,0.0,0,0,179
7,29,M,miles,2021-07-07 08:07:00,76 kgs,56.0002,21.21,159.5,170.560843964671,93.92,177.238594450812,708.31298828125,51.2374691865242,48.7625308134758,160.007016209609,-1.0,158.1,81,212,202
7,29,M,miles,2021-07-14 07:14:00,76 kgs,59.5003,21.2,159.9,170.812089757289,93.24,177.102282435574,751.813171386719,50.6943109595412,49.3056890404588,161.471182706078,-1.0,165.4,81,212,202
7,29,M,miles,2021-07-20 07:13:00,76 kgs,59.0001,20.68,157.2,163.891209476309,91.99,198.021360467749,834.385803222656,51.3129650150388,48.6870349849612,157.195546568226,-1.0,161.2,101,283,202
7,29,M,miles,2021-07-22 07:12:00,76 kgs,59.0168,21.26,160.8,162.889689752429,93.79,172.921587895327,728.647399902344,51.5638364779874,48.4361635220126,160.54569465214,-1.0,160.8,101,200,202
7,29,M,miles,2021-07-27 07:06:00,76 kgs,55.3168,21.4,161.3,164.597224572686,93.69,177.143439557194,699.204406738281,51.3736245415138,48.6263754584862,162.692285111827,-1.0,163.8,81,212,202
7,29,M,miles,2021-07-29 06:58:00,76 kgs,49.0001,19.48,147.3,164.382330684828,90.52,188.636849611132,659.628662109375,50.9365380961429,49.0634619038571,146.7658066888,-1.0,165.0,101,283,202
7,29,M,miles,2021-08-03 06:59:00,76 kgs,49.0167,21.57,176.7,161.104033169996,76.79,193.474945016725,676.996520996094,50.1458996815287,49.8541003184713,174.246041796139,-1.0,182.3,111,242,202
7,29,M,miles,2021-08-06 07:03:00,76 kgs,43.2319,20.61,151.4,160.433817250213,88.71,167.294812379808,515.861633300781,50.4929209322588,49.5070790677412,150.657411578735,-1.0,161.9,121,202,202
7,29,M,miles,2021-08-10 07:08:00,76 kgs,57.3896,21.11,159.3,160.175817200889,92.94,177.005176414034,725.246154785156,51.9662107803701,48.0337892196299,159.590932747061,-1.0,165.9,81,212,202
7,29,M,miles,2021-08-12 07:03:00,76 kgs,53.9558,20.9,161.4,170.847985036558,90.49,186.113324789125,716.654602050781,50.8534571723426,49.1465428276574,160.47678789814,-1.0,190.6,101,283,202
